gene,chromosome,insertions,expected,p,q
ENSMUSG00000007097,1,0.0,0.06455286585281168,1.0,1.0
ENSMUSG00000007107,1,0.0,0.13532769467938835,1.0,1.0
ENSMUSG00000007122,1,0.0,0.0171103981778537,1.0,1.0
ENSMUSG00000007805,1,0.0,0.0,1.0,1.0
ENSMUSG00000008136,1,0.0,0.2792105884477036,1.0,1.0
ENSMUSG00000008475,1,0.0,0.046664722303237365,1.0,1.0
ENSMUSG00000009418,1,0.0,0.7513020290821216,1.0,1.0
ENSMUSG00000009633,1,0.0,0.0,1.0,1.0
ENSMUSG00000009772,1,0.0,0.03810952321431051,1.0,1.0
ENSMUSG00000009905,1,0.0,0.12599475021874088,1.0,1.0
ENSMUSG00000009907,1,0.0,0.15632681971584517,1.0,1.0
ENSMUSG00000010175,1,0.0,0.19676957904531756,1.0,1.0
ENSMUSG00000010290,1,0.0,0.0684415927114148,1.0,1.0
ENSMUSG00000010311,1,0.0,0.023332361151618682,1.0,1.0
ENSMUSG00000010453,1,0.0,0.12366151410357902,1.0,1.0
ENSMUSG00000010609,1,0.0,0.09332944460647473,1.0,1.0
ENSMUSG00000012187,1,0.0,0.09177395386303348,1.0,1.0
ENSMUSG00000013275,1,0.0,0.0342207963557074,1.0,1.0
ENSMUSG00000013593,1,0.0,0.041220504701193005,1.0,1.0
ENSMUSG00000013698,1,0.0,0.018665888921294945,1.0,1.0
ENSMUSG00000013973,1,0.0,0.055219921392164216,1.0,1.0
ENSMUSG00000013997,1,0.0,0.02799883338194242,1.0,1.0
ENSMUSG00000014226,1,0.0,0.05599766676388484,1.0,1.0
ENSMUSG00000014602,1,0.0,0.16954849103509576,1.0,1.0
ENSMUSG00000014980,1,0.0,0.08477424551754788,1.0,1.0
ENSMUSG00000015222,1,0.0,1.5718233962473787,1.0,1.0
ENSMUSG00000015314,1,0.0,0.129883477077344,1.0,1.0
ENSMUSG00000015316,1,0.0,0.12366151410357902,1.0,1.0
ENSMUSG00000015355,1,0.0,0.10499562518228407,1.0,1.0
ENSMUSG00000015484,1,0.0,0.2675444078718942,1.0,1.0
ENSMUSG00000015829,1,0.0,1.5578239795564073,1.0,1.0
ENSMUSG00000015843,1,0.0,0.1228837687318584,1.0,1.0
ENSMUSG00000015961,1,0.0,0.20765801424940628,1.0,1.0
ENSMUSG00000015962,1,0.0,0.0855519908892685,1.0,1.0
ENSMUSG00000016179,1,0.0,0.049775703790119856,1.0,1.0
ENSMUSG00000016181,1,0.0,0.12132827798841715,1.0,1.0
ENSMUSG00000016194,1,0.0,0.15243809285724205,1.0,1.0
ENSMUSG00000016200,1,0.0,0.8002999875005208,1.0,1.0
ENSMUSG00000016262,1,0.0,0.02799883338194242,1.0,1.0
ENSMUSG00000016481,1,0.0,0.1944363429301557,1.0,1.0
ENSMUSG00000016493,1,0.0,0.28309931530630666,1.0,1.0
ENSMUSG00000016494,1,0.0,0.09177395386303348,1.0,1.0
ENSMUSG00000016524,1,0.0,0.026443342638501174,1.0,1.0
ENSMUSG00000016526,1,0.0,0.04588697693151674,1.0,1.0
ENSMUSG00000016528,1,0.0,0.11432856964293155,1.0,1.0
ENSMUSG00000016529,1,0.0,0.015554907434412455,1.0,1.0
ENSMUSG00000016918,1,0.0,0.684415927114148,1.0,1.0
ENSMUSG00000018189,1,0.0,0.22399066705553936,1.0,1.0
ENSMUSG00000018196,1,0.0,0.038887268586031136,1.0,1.0
ENSMUSG00000018199,1,0.0,0.1228837687318584,1.0,1.0
ENSMUSG00000018417,1,0.0,0.7233031957001792,1.0,1.0
ENSMUSG00000019230,1,0.0,0.09410718997819535,1.0,1.0
ENSMUSG00000019699,1,0.0,1.564823687901893,1.0,1.0
ENSMUSG00000020423,1,0.0,0.003888726858603114,1.0,1.0
ENSMUSG00000022995,1,0.0,0.738080357762871,1.0,1.0
ENSMUSG00000023150,1,0.0,0.12832798633390274,1.0,1.0
ENSMUSG00000025774,1,0.0,0.1952140883018763,1.0,1.0
ENSMUSG00000025776,1,0.0,0.21932419482521562,1.0,1.0
ENSMUSG00000025777,1,0.0,0.08710748163270975,1.0,1.0
