gene,chromosome,insertions,expected,p,q
ENSMUSG00000026113,1,0.0,0.15465790777236132,1.0,1.0
ENSMUSG00000026114,1,0.0,0.07416126179927689,1.0,1.0
ENSMUSG00000026116,1,0.0,0.3275766287515798,1.0,1.0
ENSMUSG00000026117,1,0.0,0.02086950080783671,1.0,1.0
ENSMUSG00000026121,1,0.0,0.0044720358873935806,1.0,1.0
ENSMUSG00000026123,1,0.0,0.0473290464749154,1.0,1.0
ENSMUSG00000026124,1,0.0,0.008944071774787161,1.0,1.0
ENSMUSG00000026126,1,0.0,0.024223527723381894,1.0,1.0
ENSMUSG00000026127,1,0.0,0.008944071774787161,1.0,1.0
ENSMUSG00000026131,1,0.0,0.9018605706243721,1.0,1.0
ENSMUSG00000026134,1,0.0,0.47179978612002277,1.0,1.0
ENSMUSG00000026135,1,0.0,0.038384974700128235,1.0,1.0
ENSMUSG00000026141,1,0.0,0.8631029262669611,1.0,1.0
ENSMUSG00000026142,1,0.0,0.2780115643329676,1.0,1.0
ENSMUSG00000026147,1,0.0,0.19304288247248957,1.0,1.0
ENSMUSG00000026149,1,0.0,0.026459545667078685,1.0,1.0
ENSMUSG00000026150,1,0.0,0.07639727974297367,1.0,1.0
ENSMUSG00000026153,1,0.0,0.27391219810285683,1.0,1.0
ENSMUSG00000026154,1,0.0,0.018260813206857122,1.0,1.0
ENSMUSG00000026155,1,0.0,0.20683165979195312,1.0,1.0
ENSMUSG00000026156,1,0.0,0.1662106671481281,1.0,1.0
ENSMUSG00000026158,1,0.0,0.07453393145655968,1.0,1.0
ENSMUSG00000026159,1,0.0,0.16024795263160332,1.0,1.0
ENSMUSG00000026162,1,0.0,0.13863311250920102,1.0,1.0
ENSMUSG00000026163,1,0.0,0.3521728261322445,1.0,1.0
ENSMUSG00000026166,1,0.0,0.006335384173807573,1.0,1.0
ENSMUSG00000026167,1,0.0,0.01416144697674634,1.0,1.0
ENSMUSG00000026170,1,0.0,0.045093028531218604,1.0,1.0
ENSMUSG00000026171,1,0.0,0.013043438004897944,1.0,1.0
ENSMUSG00000026172,1,0.0,0.0033540269155451856,1.0,1.0
ENSMUSG00000026173,1,0.0,0.045093028531218604,1.0,1.0
ENSMUSG00000026174,1,0.0,0.059627145165247745,1.0,1.0
ENSMUSG00000026175,1,0.0,0.029813572582623873,1.0,1.0
ENSMUSG00000026176,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000026177,1,0.0,0.01155275937576675,1.0,1.0
ENSMUSG00000026179,1,0.0,0.08944071774787161,1.0,1.0
ENSMUSG00000026180,1,0.0,0.006335384173807573,1.0,1.0
ENSMUSG00000026182,1,0.0,0.0003726696572827984,1.0,1.0
ENSMUSG00000026185,1,0.0,0.018260813206857122,1.0,1.0
ENSMUSG00000026187,1,0.0,0.19117953418607558,1.0,1.0
ENSMUSG00000026188,1,0.0,0.03540361744186585,1.0,1.0
ENSMUSG00000026189,1,0.0,0.04807438578948099,1.0,1.0
ENSMUSG00000026192,1,0.0,0.049565064418612186,1.0,1.0
ENSMUSG00000026193,1,0.0,0.17440939960834964,1.0,1.0
ENSMUSG00000026196,1,0.0,0.2038503025336907,1.0,1.0
ENSMUSG00000026197,1,0.0,0.0011180089718483951,1.0,1.0
ENSMUSG00000026198,1,0.0,0.009689411089352758,1.0,1.0
ENSMUSG00000026199,1,0.0,0.010062080746635556,1.0,1.0
ENSMUSG00000026200,1,0.0,0.022732849094250704,1.0,1.0
ENSMUSG00000026201,1,0.0,0.0026086876009795887,1.0,1.0
ENSMUSG00000026202,1,0.0,0.0022360179436967903,1.0,1.0
ENSMUSG00000026203,1,0.0,0.010434750403918355,1.0,1.0
ENSMUSG00000026204,1,0.0,0.017888143549574322,1.0,1.0
ENSMUSG00000026205,1,0.0,0.00931674143206996,1.0,1.0
ENSMUSG00000026207,1,0.0,0.05180108236230898,1.0,1.0
ENSMUSG00000026208,1,0.0,0.006335384173807573,1.0,1.0
ENSMUSG00000026209,1,0.0,0.006335384173807573,1.0,1.0
ENSMUSG00000026211,1,0.0,0.021614840122402307,1.0,1.0
