mouse_ensembl_gene,expected,observed,p,q,gene
ENSMUSG00000021390,0.5589896972234497,1,0.4282135504299012,1.0,Ogn
ENSMUSG00000021391,0.5589896972234497,2,0.10859081610824053,1.0,Cenpp
ENSMUSG00000021392,0.5589896972234497,0,1.0,1.0,Nol8
ENSMUSG00000021395,0.2749129658475982,0,1.0,1.0,Spin1
ENSMUSG00000021396,0.2749129658475982,0,1.0,1.0,Nxnl2
ENSMUSG00000021400,0.573651722068655,0,1.0,1.0,Wrnip1
ENSMUSG00000021408,0.573651722068655,0,1.0,1.0,Ripk1
ENSMUSG00000021411,0.573651722068655,0,1.0,1.0,Pxdc1
ENSMUSG00000021413,0.573651722068655,0,1.0,1.0,Prpf4b
ENSMUSG00000021414,0.573651722068655,1,0.43653593694915777,1.0,Fam217a
ENSMUSG00000021415,0.573651722068655,0,1.0,1.0,4933417A18Rik
ENSMUSG00000021417,0.573651722068655,0,1.0,1.0,Eci2
ENSMUSG00000021418,0.573651722068655,1,0.43653593694915777,1.0,Rpp40
ENSMUSG00000021420,0.5406621661669432,7,1.672585267771194e-06,0.0002561594205185651,Fars2
ENSMUSG00000021423,0.5406621661669432,0,1.0,1.0,Ly86
ENSMUSG00000021427,0.5406621661669432,0,1.0,1.0,Ssr1
ENSMUSG00000021428,0.573651722068655,0,1.0,1.0,Riok1
ENSMUSG00000021431,0.573651722068655,1,0.43653593694915777,1.0,Snrnp48
ENSMUSG00000021432,0.573651722068655,1,0.43653593694915777,1.0,Slc35b3
ENSMUSG00000021448,0.2749129658475982,0,1.0,1.0,Shc3
ENSMUSG00000021451,0.2749129658475982,0,1.0,1.0,Sema4d
ENSMUSG00000021453,0.2749129658475982,0,1.0,1.0,Gadd45g
ENSMUSG00000021456,0.2749129658475982,0,1.0,1.0,Fbp2
ENSMUSG00000021457,0.2749129658475982,0,1.0,1.0,Syk
ENSMUSG00000021458,0.2749129658475982,4,0.00019120518503107272,0.015254616459711583,Aopep
ENSMUSG00000021460,0.2749129658475982,0,1.0,1.0,Auh
ENSMUSG00000021461,0.2749129658475982,3,0.0028217229252139055,0.08885028668903815,Fancc
ENSMUSG00000021464,0.2749129658475982,2,0.03152736507714968,0.5364969178257425,Ror2
ENSMUSG00000021466,0.2749129658475982,0,1.0,1.0,Ptch1
ENSMUSG00000021468,0.2749129658475982,0,1.0,1.0,Sptlc1
ENSMUSG00000021469,0.2749129658475982,0,1.0,1.0,Msx2
ENSMUSG00000021470,0.2749129658475982,1,0.2403617651821572,1.0,Ercc6l2
ENSMUSG00000021474,0.2749129658475982,0,1.0,1.0,Sfxn1
ENSMUSG00000021476,0.2749129658475982,0,1.0,1.0,Habp4
ENSMUSG00000021477,0.2749129658475982,0,1.0,1.0,Ctsl
ENSMUSG00000021478,0.2749129658475982,0,1.0,1.0,Drd1
ENSMUSG00000021481,0.2749129658475982,0,1.0,1.0,Zfp346
ENSMUSG00000021482,0.2749129658475982,1,0.2403617651821572,1.0,Prxl2c
ENSMUSG00000021483,0.2749129658475982,0,1.0,1.0,Cdk20
